Ref,Step no,Step,Substep — still to do,Actor,Mode,Precondition,Substep — done,Column,Kind,Outcome,Audience,Surface,Text,Built
9b,9,Reviewing,Upload Feedback,Coach,manual,manual — uploads their feedback,Feedback Uploaded,Shown to someone when it works,message,works,Coach,operator portal,the file appears in their folder,yes
9b,9,Reviewing,Upload Feedback,Coach,manual,manual — uploads their feedback,Feedback Uploaded,Shown to someone when it works,message,works,Admin,operator portal,“The coach has delivered.”,no
10a,10,Submitted,Inform Admin,System,automated,automated — fires when the feedback lands,Admin Informed,Written to the trail when it fails,trail row,fails,,,⑥ feedback → Admin failed,yes
10a,10,Submitted,Inform Admin,System,automated,automated — fires when the feedback lands,Admin Informed,Written to the trail when it fails,trail row,fails,,,⑥ feedback → Admin bounced — hard,yes
10a,10,Submitted,Inform Admin,System,automated,automated — fires when the feedback lands,Admin Informed,Written to the trail when it fails,trail row,fails,,,⑥ feedback → Admin bounced — soft,yes
10a,10,Submitted,Inform Admin,System,automated,automated — fires when the feedback lands,Admin Informed,Written to the trail when it fails,trail row,fails,,,⑥ feedback → Admin bounced,yes
10a,10,Submitted,Inform Admin,System,automated,automated — fires when the feedback lands,Admin Informed,Written to the trail when it fails,trail row,fails,,,⑥ feedback → Admin complained,yes
10a,10,Submitted,Inform Admin,System,automated,automated — fires when the feedback lands,Admin Informed,Shown to someone when it fails,message,fails,Admin,operator portal,a banner on the row — “The feedback notice bounced.”,no
10a,10,Submitted,Inform Admin,System,automated,automated — fires when the feedback lands,Admin Informed,Written to the trail when it works,trail row,works,,,⑥ feedback → Admin,yes
10a,10,Submitted,Inform Admin,System,automated,automated — fires when the feedback lands,Admin Informed,Written to the trail when it works,trail row,works,,,⑥ feedback → Admin delivered,yes
10a,10,Submitted,Inform Admin,System,automated,automated — fires when the feedback lands,Admin Informed,Shown to someone when it works,message,works,Admin,email,⑥ the coach has delivered,yes
10b,10,Submitted,Inform Coach,System,automated,automated — fires when the feedback lands,Coach Informed,Written to the trail when it fails,trail row,fails,,,⑥ feedback → coach failed,yes
10b,10,Submitted,Inform Coach,System,automated,automated — fires when the feedback lands,Coach Informed,Written to the trail when it fails,trail row,fails,,,⑥ feedback → coach bounced — hard,yes
10b,10,Submitted,Inform Coach,System,automated,automated — fires when the feedback lands,Coach Informed,Written to the trail when it fails,trail row,fails,,,⑥ feedback → coach bounced — soft,yes
10b,10,Submitted,Inform Coach,System,automated,automated — fires when the feedback lands,Coach Informed,Written to the trail when it fails,trail row,fails,,,⑥ feedback → coach bounced,yes
10b,10,Submitted,Inform Coach,System,automated,automated — fires when the feedback lands,Coach Informed,Written to the trail when it fails,trail row,fails,,,⑥ feedback → coach complained,yes
10b,10,Submitted,Inform Coach,System,automated,automated — fires when the feedback lands,Coach Informed,Shown to someone when it fails,message,fails,Admin,operator portal,a banner on the row — “The coach’s copy bounced.”,no
10b,10,Submitted,Inform Coach,System,automated,automated — fires when the feedback lands,Coach Informed,Written to the trail when it works,trail row,works,,,⑥ feedback → coach,yes
10b,10,Submitted,Inform Coach,System,automated,automated — fires when the feedback lands,Coach Informed,Written to the trail when it works,trail row,works,,,⑥ feedback → coach delivered,yes
10b,10,Submitted,Inform Coach,System,automated,automated — fires when the feedback lands,Coach Informed,Shown to someone when it works,message,works,Coach,email,⑥ we have your feedback,yes
10c,10,Submitted,Approve Feedback,Admin,manual,"manual — approves the coaching, or returns it with a reason",Feedback Approved,Written to the trail when it fails,trail row,fails,,,⑥ approved → coach failed,no
10c,10,Submitted,Approve Feedback,Admin,manual,"manual — approves the coaching, or returns it with a reason",Feedback Approved,Written to the trail when it fails,trail row,fails,,,⑥ approved → coach bounced — hard,no
10c,10,Submitted,Approve Feedback,Admin,manual,"manual — approves the coaching, or returns it with a reason",Feedback Approved,Written to the trail when it fails,trail row,fails,,,⑥ approved → coach bounced — soft,no
10c,10,Submitted,Approve Feedback,Admin,manual,"manual — approves the coaching, or returns it with a reason",Feedback Approved,Written to the trail when it fails,trail row,fails,,,⑥ approved → coach bounced,no
10c,10,Submitted,Approve Feedback,Admin,manual,"manual — approves the coaching, or returns it with a reason",Feedback Approved,Written to the trail when it fails,trail row,fails,,,⑥ approved → coach complained,no
10c,10,Submitted,Approve Feedback,Admin,manual,"manual — approves the coaching, or returns it with a reason",Feedback Approved,Written to the trail when it fails,trail row,fails,,,⑥ returned → coach failed,no
10c,10,Submitted,Approve Feedback,Admin,manual,"manual — approves the coaching, or returns it with a reason",Feedback Approved,Written to the trail when it fails,trail row,fails,,,⑥ returned → coach bounced — hard,no
10c,10,Submitted,Approve Feedback,Admin,manual,"manual — approves the coaching, or returns it with a reason",Feedback Approved,Written to the trail when it fails,trail row,fails,,,⑥ returned → coach bounced — soft,no
10c,10,Submitted,Approve Feedback,Admin,manual,"manual — approves the coaching, or returns it with a reason",Feedback Approved,Written to the trail when it fails,trail row,fails,,,⑥ returned → coach bounced,no
10c,10,Submitted,Approve Feedback,Admin,manual,"manual — approves the coaching, or returns it with a reason",Feedback Approved,Written to the trail when it fails,trail row,fails,,,⑥ returned → coach complained,no
10c,10,Submitted,Approve Feedback,Admin,manual,"manual — approves the coaching, or returns it with a reason",Feedback Approved,Shown to someone when it fails,message,fails,Admin,operator portal,“There’s nothing in the feedback folder to assess.”,no
10c,10,Submitted,Approve Feedback,Admin,manual,"manual — approves the coaching, or returns it with a reason",Feedback Approved,Shown to someone when it fails,message,fails,Admin,operator portal,“Say why it’s going back — the coach only gets what you write here.”,no
10c,10,Submitted,Approve Feedback,Admin,manual,"manual — approves the coaching, or returns it with a reason",Feedback Approved,Shown to someone when it fails,message,fails,Admin,operator portal,“That didn’t go through — try again.”,no
10c,10,Submitted,Approve Feedback,Admin,manual,"manual — approves the coaching, or returns it with a reason",Feedback Approved,Written to the trail when it works,trail row,works,,,feedback approved — proceeding to the fit assessment,no
10c,10,Submitted,Approve Feedback,Admin,manual,"manual — approves the coaching, or returns it with a reason",Feedback Approved,Written to the trail when it works,trail row,works,,,feedback rejected — sent back for rework. Returning to Step 9,no
10c,10,Submitted,Approve Feedback,Admin,manual,"manual — approves the coaching, or returns it with a reason",Feedback Approved,Written to the trail when it works,trail row,works,,,⑥ approved → coach,no
10c,10,Submitted,Approve Feedback,Admin,manual,"manual — approves the coaching, or returns it with a reason",Feedback Approved,Written to the trail when it works,trail row,works,,,⑥ approved → coach delivered,no
10c,10,Submitted,Approve Feedback,Admin,manual,"manual — approves the coaching, or returns it with a reason",Feedback Approved,Written to the trail when it works,trail row,works,,,⑥ returned → coach,no
10c,10,Submitted,Approve Feedback,Admin,manual,"manual — approves the coaching, or returns it with a reason",Feedback Approved,Written to the trail when it works,trail row,works,,,⑥ returned → coach delivered,no
10c,10,Submitted,Approve Feedback,Admin,manual,"manual — approves the coaching, or returns it with a reason",Feedback Approved,Shown to someone when it works,message,works,Admin,operator portal,“Approved — checking whether the client can read it.”,no
10c,10,Submitted,Approve Feedback,Admin,manual,"manual — approves the coaching, or returns it with a reason",Feedback Approved,Shown to someone when it works,message,works,Admin,operator portal,“Returned for rework — back to Step 9.”,no
10c,10,Submitted,Approve Feedback,Admin,manual,"manual — approves the coaching, or returns it with a reason",Feedback Approved,Shown to someone when it works,message,works,Coach,email,⑥ your feedback was approved,no
10c,10,Submitted,Approve Feedback,Admin,manual,"manual — approves the coaching, or returns it with a reason",Feedback Approved,Shown to someone when it works,message,works,Coach,email,"⑥ your feedback was returned, with the reason",no
10c,10,Submitted,Approve Feedback,Admin,manual,"manual — approves the coaching, or returns it with a reason",Feedback Approved,Shown to someone when it works,message,works,Coach,operator portal,“This came back — see the note and re-upload.”,no
10d,10,Submitted,Assess Feedback Fit,System,automated,automated — reads the language the feedback was written in,Feedback Fit Assessed,Written to the trail when it fails,trail row,fails,,,no coach who answered shares the client's language — translation unavoidable,no
10d,10,Submitted,Assess Feedback Fit,System,automated,automated — reads the language the feedback was written in,Feedback Fit Assessed,Shown to someone when it fails,message,fails,Admin,operator portal,“The feedback came back in a language the client doesn’t read — a translation will be needed.”,no
10d,10,Submitted,Assess Feedback Fit,System,automated,automated — reads the language the feedback was written in,Feedback Fit Assessed,Written to the trail when it works,trail row,works,,,feedback fit assessed — written in {language},no
10d,10,Submitted,Assess Feedback Fit,System,automated,automated — reads the language the feedback was written in,Feedback Fit Assessed,Written to the trail when it works,trail row,works,,,feedback fit assessed — the client reads it,no
10d,10,Submitted,Assess Feedback Fit,System,automated,automated — reads the language the feedback was written in,Feedback Fit Assessed,Shown to someone when it works,message,works,Admin,operator portal,“The client reads this. No translation needed.”,no
10d,10,Submitted,Assess Feedback Fit,System,automated,automated — reads the language the feedback was written in,Feedback Fit Assessed,Shown to someone when it works,message,works,Admin,operator portal,“The client can’t read this. Translation needed.”,no
10e,10,Submitted,Choose Path,System,automated,automated — reads what the fit assessment found,Path Chosen,Written to the trail when it fails,trail row,fails,,,compatibility split — the feedback spans two languages,no
10e,10,Submitted,Choose Path,System,automated,automated — reads what the fit assessment found,Path Chosen,Written to the trail when it fails,trail row,fails,,,compatibility split — {coachId} answered in a language the client can’t read,no
10e,10,Submitted,Choose Path,System,automated,automated — reads what the fit assessment found,Path Chosen,Shown to someone when it fails,message,fails,Admin,operator portal,"“{name} answered in a language the client can’t read. Translate the set, or send one.”",no
10e,10,Submitted,Choose Path,System,automated,automated — reads what the fit assessment found,Path Chosen,Written to the trail when it works,trail row,works,,,translation required — no shared language. Proceeding to Step 11,no
10e,10,Submitted,Choose Path,System,automated,automated — reads what the fit assessment found,Path Chosen,Written to the trail when it works,trail row,works,,,translation not required — shared language. Proceeding to Step 14,no
10e,10,Submitted,Choose Path,System,automated,automated — reads what the fit assessment found,Path Chosen,Shown to someone when it works,message,works,Admin,operator portal,“No shared language — this needs translating. Moving to Step 11.”,no
10e,10,Submitted,Choose Path,System,automated,automated — reads what the fit assessment found,Path Chosen,Shown to someone when it works,message,works,Admin,operator portal,“Shared language — no translation needed. Moving to Step 14.”,no
11a,11,Translate,Assign Translator,Admin,manual,manual — picks from the translator list,Translator Assigned,Written to the trail when it fails,trail row,fails,,,feedback translator already assigned — reassignment refused,no
11a,11,Translate,Assign Translator,Admin,manual,manual — picks from the translator list,Translator Assigned,Written to the trail when it fails,trail row,fails,,,feedback translator assignment failed — nobody on file covers that language pair,no
11a,11,Translate,Assign Translator,Admin,manual,manual — picks from the translator list,Translator Assigned,Shown to someone when it fails,message,fails,Admin,operator portal,“This has already gone to a translator. Reload to see where it is.”,no
11a,11,Translate,Assign Translator,Admin,manual,manual — picks from the translator list,Translator Assigned,Shown to someone when it fails,message,fails,Admin,operator portal,“Nobody on file covers that language pair.”,no
11a,11,Translate,Assign Translator,Admin,manual,manual — picks from the translator list,Translator Assigned,Shown to someone when it fails,message,fails,Admin,operator portal,“That didn’t go through — try again.”,no
11a,11,Translate,Assign Translator,Admin,manual,manual — picks from the translator list,Translator Assigned,Written to the trail when it works,trail row,works,,,feedback translator assigned — {translatorId},no
11a,11,Translate,Assign Translator,Admin,manual,manual — picks from the translator list,Translator Assigned,Written to the trail when it works,trail row,works,,,feedback translator unassigned — {translatorId},no
11a,11,Translate,Assign Translator,Admin,manual,manual — picks from the translator list,Translator Assigned,Shown to someone when it works,message,works,Admin,operator portal,the translator’s name appears on the row,no
11a,11,Translate,Assign Translator,Admin,manual,manual — picks from the translator list,Translator Assigned,Shown to someone when it works,message,works,Admin,operator portal,“Two translators on this one.”,no
11a,11,Translate,Assign Translator,Admin,manual,manual — picks from the translator list,Translator Assigned,Shown to someone when it works,message,works,Admin,operator portal,“Reassigned — {name} has it now.”,no
11a,11,Translate,Assign Translator,Admin,manual,manual — picks from the translator list,Translator Assigned,Shown to someone when it works,message,works,Admin,operator portal,“The intake leg can take a different translator.”,no
11b,11,Translate,Inform Translator,System,automated,"automated — fires on assignment; there is one set, so nothing to choose",Translator Informed,Written to the trail when it fails,trail row,fails,,,⑦ feedback → translator failed,no
11b,11,Translate,Inform Translator,System,automated,"automated — fires on assignment; there is one set, so nothing to choose",Translator Informed,Written to the trail when it fails,trail row,fails,,,⑦ feedback → translator bounced — hard,no
11b,11,Translate,Inform Translator,System,automated,"automated — fires on assignment; there is one set, so nothing to choose",Translator Informed,Written to the trail when it fails,trail row,fails,,,⑦ feedback → translator bounced — soft,no
11b,11,Translate,Inform Translator,System,automated,"automated — fires on assignment; there is one set, so nothing to choose",Translator Informed,Written to the trail when it fails,trail row,fails,,,⑦ feedback → translator bounced,no
11b,11,Translate,Inform Translator,System,automated,"automated — fires on assignment; there is one set, so nothing to choose",Translator Informed,Written to the trail when it fails,trail row,fails,,,⑦ feedback → translator complained,no
11b,11,Translate,Inform Translator,System,automated,"automated — fires on assignment; there is one set, so nothing to choose",Translator Informed,Shown to someone when it fails,message,fails,Admin,operator portal,“The translator never received this.”,no
11b,11,Translate,Inform Translator,System,automated,"automated — fires on assignment; there is one set, so nothing to choose",Translator Informed,Shown to someone when it fails,message,fails,Admin,operator portal,“That didn’t go through — try again.”,no
11b,11,Translate,Inform Translator,System,automated,"automated — fires on assignment; there is one set, so nothing to choose",Translator Informed,Written to the trail when it works,trail row,works,,,⑦ feedback → translator,no
11b,11,Translate,Inform Translator,System,automated,"automated — fires on assignment; there is one set, so nothing to choose",Translator Informed,Written to the trail when it works,trail row,works,,,⑦ feedback → translator delivered,no
11b,11,Translate,Inform Translator,System,automated,"automated — fires on assignment; there is one set, so nothing to choose",Translator Informed,Shown to someone when it works,message,works,Translator,email,⑦ a feedback to translate,no
11c,11,Translate,Download Feedback,Translator,manual,"manual — collects the feedback, off-platform",Feedback Downloaded,Written to the trail when it fails,trail row,fails,,,"feedback fetch refused — 410, the folder was swept",yes
11c,11,Translate,Download Feedback,Translator,manual,"manual — collects the feedback, off-platform",Feedback Downloaded,Written to the trail when it fails,trail row,fails,,,"feedback fetch refused — 401, the session had expired",no
11c,11,Translate,Download Feedback,Translator,manual,"manual — collects the feedback, off-platform",Feedback Downloaded,Written to the trail when it fails,trail row,fails,,,"feedback fetch refused — 403, a different party asked",no
11c,11,Translate,Download Feedback,Translator,manual,"manual — collects the feedback, off-platform",Feedback Downloaded,Written to the trail when it fails,trail row,fails,,,feedback fetch failed — storage unreachable,no
11c,11,Translate,Download Feedback,Translator,manual,"manual — collects the feedback, off-platform",Feedback Downloaded,Written to the trail when it fails,trail row,fails,,,feedback fetch stopped partway,no
11c,11,Translate,Download Feedback,Translator,manual,"manual — collects the feedback, off-platform",Feedback Downloaded,Written to the trail when it fails,trail row,fails,,,feedback pack build failed — too large to archive,no
11c,11,Translate,Download Feedback,Translator,manual,"manual — collects the feedback, off-platform",Feedback Downloaded,Written to the trail when it fails,trail row,fails,,,feedback never collected — 48h after hand-off,no
11c,11,Translate,Download Feedback,Translator,manual,"manual — collects the feedback, off-platform",Feedback Downloaded,Written to the trail when it fails,trail row,fails,,,"feedback still incomplete — 1 of 2, 48h after hand-off",no
11c,11,Translate,Download Feedback,Translator,manual,"manual — collects the feedback, off-platform",Feedback Downloaded,Written to the trail when it fails,trail row,fails,,,"feedback still incomplete — 1 of 3, 48h after hand-off",no
11c,11,Translate,Download Feedback,Translator,manual,"manual — collects the feedback, off-platform",Feedback Downloaded,Written to the trail when it fails,trail row,fails,,,"feedback still incomplete — 1 of 4, 48h after hand-off",no
11c,11,Translate,Download Feedback,Translator,manual,"manual — collects the feedback, off-platform",Feedback Downloaded,Written to the trail when it fails,trail row,fails,,,"feedback still incomplete — 1 of 5, 48h after hand-off",no
11c,11,Translate,Download Feedback,Translator,manual,"manual — collects the feedback, off-platform",Feedback Downloaded,Written to the trail when it fails,trail row,fails,,,"feedback still incomplete — 2 of 3, 48h after hand-off",no
11c,11,Translate,Download Feedback,Translator,manual,"manual — collects the feedback, off-platform",Feedback Downloaded,Written to the trail when it fails,trail row,fails,,,"feedback still incomplete — 2 of 4, 48h after hand-off",no
11c,11,Translate,Download Feedback,Translator,manual,"manual — collects the feedback, off-platform",Feedback Downloaded,Written to the trail when it fails,trail row,fails,,,"feedback still incomplete — 2 of 5, 48h after hand-off",no
11c,11,Translate,Download Feedback,Translator,manual,"manual — collects the feedback, off-platform",Feedback Downloaded,Written to the trail when it fails,trail row,fails,,,"feedback still incomplete — 3 of 4, 48h after hand-off",no
11c,11,Translate,Download Feedback,Translator,manual,"manual — collects the feedback, off-platform",Feedback Downloaded,Written to the trail when it fails,trail row,fails,,,"feedback still incomplete — 3 of 5, 48h after hand-off",no
11c,11,Translate,Download Feedback,Translator,manual,"manual — collects the feedback, off-platform",Feedback Downloaded,Written to the trail when it fails,trail row,fails,,,"feedback still incomplete — 4 of 5, 48h after hand-off",no
11c,11,Translate,Download Feedback,Translator,manual,"manual — collects the feedback, off-platform",Feedback Downloaded,Shown to someone when it fails,message,fails,Translator,operator portal,“That file is no longer available.”,yes
11c,11,Translate,Download Feedback,Translator,manual,"manual — collects the feedback, off-platform",Feedback Downloaded,Shown to someone when it fails,message,fails,Translator,operator portal,“Your session has expired. Please sign in again.”,no
11c,11,Translate,Download Feedback,Translator,manual,"manual — collects the feedback, off-platform",Feedback Downloaded,Shown to someone when it fails,message,fails,Translator,operator portal,“This submission isn’t assigned to you.”,no
11c,11,Translate,Download Feedback,Translator,manual,"manual — collects the feedback, off-platform",Feedback Downloaded,Shown to someone when it fails,message,fails,Translator,operator portal,“We couldn’t reach storage. Please try again in a moment.”,no
11c,11,Translate,Download Feedback,Translator,manual,"manual — collects the feedback, off-platform",Feedback Downloaded,Shown to someone when it fails,message,fails,Translator,operator portal,“That download didn’t finish — try it again.”,no
11c,11,Translate,Download Feedback,Translator,manual,"manual — collects the feedback, off-platform",Feedback Downloaded,Shown to someone when it fails,message,fails,Translator,operator portal,“We couldn’t build the archive. Download the files individually.”,no
11c,11,Translate,Download Feedback,Translator,manual,"manual — collects the feedback, off-platform",Feedback Downloaded,Shown to someone when it fails,message,fails,Admin,operator portal,"“The translator hasn’t collected anything, 48h after hand-off.”",no
11c,11,Translate,Download Feedback,Translator,manual,"manual — collects the feedback, off-platform",Feedback Downloaded,Shown to someone when it fails,message,fails,Admin,operator portal,“The translator has 1 of 2 files.”,no
11c,11,Translate,Download Feedback,Translator,manual,"manual — collects the feedback, off-platform",Feedback Downloaded,Shown to someone when it fails,message,fails,Admin,operator portal,“The translator has 1 of 3 files.”,no
11c,11,Translate,Download Feedback,Translator,manual,"manual — collects the feedback, off-platform",Feedback Downloaded,Shown to someone when it fails,message,fails,Admin,operator portal,“The translator has 1 of 4 files.”,no
11c,11,Translate,Download Feedback,Translator,manual,"manual — collects the feedback, off-platform",Feedback Downloaded,Shown to someone when it fails,message,fails,Admin,operator portal,“The translator has 1 of 5 files.”,no
11c,11,Translate,Download Feedback,Translator,manual,"manual — collects the feedback, off-platform",Feedback Downloaded,Shown to someone when it fails,message,fails,Admin,operator portal,“The translator has 2 of 3 files.”,no
11c,11,Translate,Download Feedback,Translator,manual,"manual — collects the feedback, off-platform",Feedback Downloaded,Shown to someone when it fails,message,fails,Admin,operator portal,“The translator has 2 of 4 files.”,no
11c,11,Translate,Download Feedback,Translator,manual,"manual — collects the feedback, off-platform",Feedback Downloaded,Shown to someone when it fails,message,fails,Admin,operator portal,“The translator has 2 of 5 files.”,no
11c,11,Translate,Download Feedback,Translator,manual,"manual — collects the feedback, off-platform",Feedback Downloaded,Shown to someone when it fails,message,fails,Admin,operator portal,“The translator has 3 of 4 files.”,no
11c,11,Translate,Download Feedback,Translator,manual,"manual — collects the feedback, off-platform",Feedback Downloaded,Shown to someone when it fails,message,fails,Admin,operator portal,“The translator has 3 of 5 files.”,no
11c,11,Translate,Download Feedback,Translator,manual,"manual — collects the feedback, off-platform",Feedback Downloaded,Shown to someone when it fails,message,fails,Admin,operator portal,“The translator has 4 of 5 files.”,no
11c,11,Translate,Download Feedback,Translator,manual,"manual — collects the feedback, off-platform",Feedback Downloaded,Written to the trail when it works,trail row,works,,,feedback collected — 1 of 1,no
11c,11,Translate,Download Feedback,Translator,manual,"manual — collects the feedback, off-platform",Feedback Downloaded,Written to the trail when it works,trail row,works,,,feedback collected — 1 of 2,no
11c,11,Translate,Download Feedback,Translator,manual,"manual — collects the feedback, off-platform",Feedback Downloaded,Written to the trail when it works,trail row,works,,,feedback collected — 1 of 3,no
11c,11,Translate,Download Feedback,Translator,manual,"manual — collects the feedback, off-platform",Feedback Downloaded,Written to the trail when it works,trail row,works,,,feedback collected — 1 of 4,no
11c,11,Translate,Download Feedback,Translator,manual,"manual — collects the feedback, off-platform",Feedback Downloaded,Written to the trail when it works,trail row,works,,,feedback collected — 1 of 5,no
11c,11,Translate,Download Feedback,Translator,manual,"manual — collects the feedback, off-platform",Feedback Downloaded,Written to the trail when it works,trail row,works,,,feedback collected — 2 of 2,no
11c,11,Translate,Download Feedback,Translator,manual,"manual — collects the feedback, off-platform",Feedback Downloaded,Written to the trail when it works,trail row,works,,,feedback collected — 2 of 3,no
11c,11,Translate,Download Feedback,Translator,manual,"manual — collects the feedback, off-platform",Feedback Downloaded,Written to the trail when it works,trail row,works,,,feedback collected — 2 of 4,no
11c,11,Translate,Download Feedback,Translator,manual,"manual — collects the feedback, off-platform",Feedback Downloaded,Written to the trail when it works,trail row,works,,,feedback collected — 2 of 5,no
11c,11,Translate,Download Feedback,Translator,manual,"manual — collects the feedback, off-platform",Feedback Downloaded,Written to the trail when it works,trail row,works,,,feedback collected — 3 of 3,no
11c,11,Translate,Download Feedback,Translator,manual,"manual — collects the feedback, off-platform",Feedback Downloaded,Written to the trail when it works,trail row,works,,,feedback collected — 3 of 4,no
11c,11,Translate,Download Feedback,Translator,manual,"manual — collects the feedback, off-platform",Feedback Downloaded,Written to the trail when it works,trail row,works,,,feedback collected — 3 of 5,no
11c,11,Translate,Download Feedback,Translator,manual,"manual — collects the feedback, off-platform",Feedback Downloaded,Written to the trail when it works,trail row,works,,,feedback collected — 4 of 4,no
11c,11,Translate,Download Feedback,Translator,manual,"manual — collects the feedback, off-platform",Feedback Downloaded,Written to the trail when it works,trail row,works,,,feedback collected — 4 of 5,no
11c,11,Translate,Download Feedback,Translator,manual,"manual — collects the feedback, off-platform",Feedback Downloaded,Written to the trail when it works,trail row,works,,,feedback collected — 5 of 5,no
11c,11,Translate,Download Feedback,Translator,manual,"manual — collects the feedback, off-platform",Feedback Downloaded,Written to the trail when it works,trail row,works,,,feedback collected in one pack,no
11c,11,Translate,Download Feedback,Translator,manual,"manual — collects the feedback, off-platform",Feedback Downloaded,Shown to someone when it works,message,works,Translator,operator portal,the file downloads,yes
11c,11,Translate,Download Feedback,Translator,manual,"manual — collects the feedback, off-platform",Feedback Downloaded,Shown to someone when it works,message,works,Translator,operator portal,“Your file downloaded — you have the complete set.”,no
11c,11,Translate,Download Feedback,Translator,manual,"manual — collects the feedback, off-platform",Feedback Downloaded,Shown to someone when it works,message,works,Translator,operator portal,“All 2 files downloaded — you have the complete set.”,no
11c,11,Translate,Download Feedback,Translator,manual,"manual — collects the feedback, off-platform",Feedback Downloaded,Shown to someone when it works,message,works,Translator,operator portal,“All 3 files downloaded — you have the complete set.”,no
11c,11,Translate,Download Feedback,Translator,manual,"manual — collects the feedback, off-platform",Feedback Downloaded,Shown to someone when it works,message,works,Translator,operator portal,“All 4 files downloaded — you have the complete set.”,no
11c,11,Translate,Download Feedback,Translator,manual,"manual — collects the feedback, off-platform",Feedback Downloaded,Shown to someone when it works,message,works,Translator,operator portal,“All 5 files downloaded — you have the complete set.”,no
11c,11,Translate,Download Feedback,Translator,manual,"manual — collects the feedback, off-platform",Feedback Downloaded,Shown to someone when it works,message,works,Admin,operator portal,“The translator has started — first file collected.”,no
11c,11,Translate,Download Feedback,Translator,manual,"manual — collects the feedback, off-platform",Feedback Downloaded,Shown to someone when it works,message,works,Admin,operator portal,“The translator has the complete set.”,no
12a,12,Translating,Update Client,System,automated,automated — fires on the translator's first collection,Client Updated,Written to the trail when it fails,trail row,fails,,,client status update failed — the page still shows the previous line,no
12a,12,Translating,Update Client,System,automated,automated — fires on the translator's first collection,Client Updated,Shown to someone when it fails,message,fails,Admin,operator portal,“The client’s status page didn’t update — it still shows the previous step.”,no
12a,12,Translating,Update Client,System,automated,automated — fires on the translator's first collection,Client Updated,Written to the trail when it works,trail row,works,,,client status — “Your feedback is being translated.”,no
12a,12,Translating,Update Client,System,automated,automated — fires on the translator's first collection,Client Updated,Shown to someone when it works,message,works,Customer,status page,“Your feedback is being translated.”,no
12b,12,Translating,Upload Translation,Translator,manual,manual — uploads each file against its original,Translation Uploaded,Written to the trail when it fails,trail row,fails,,,feedback_translation rejected — over the size limit,no
12b,12,Translating,Upload Translation,Translator,manual,manual — uploads each file against its original,Translation Uploaded,Written to the trail when it fails,trail row,fails,,,feedback_translation rejected — file type not supported,no
12b,12,Translating,Upload Translation,Translator,manual,manual — uploads each file against its original,Translation Uploaded,Written to the trail when it fails,trail row,fails,,,feedback_translation rejected — the file was empty,no
12b,12,Translating,Upload Translation,Translator,manual,manual — uploads each file against its original,Translation Uploaded,Written to the trail when it fails,trail row,fails,,,feedback_translation unmatched — no original to pair it with,no
12b,12,Translating,Upload Translation,Translator,manual,manual — uploads each file against its original,Translation Uploaded,Written to the trail when it fails,trail row,fails,,,feedback_translation duplicate — that original already has a translation,no
12b,12,Translating,Upload Translation,Translator,manual,manual — uploads each file against its original,Translation Uploaded,Written to the trail when it fails,trail row,fails,,,feedback_translation incomplete — 1 of 2 originals translated,no
12b,12,Translating,Upload Translation,Translator,manual,manual — uploads each file against its original,Translation Uploaded,Written to the trail when it fails,trail row,fails,,,feedback_translation incomplete — 1 of 3 originals translated,no
12b,12,Translating,Upload Translation,Translator,manual,manual — uploads each file against its original,Translation Uploaded,Written to the trail when it fails,trail row,fails,,,feedback_translation incomplete — 1 of 4 originals translated,no
12b,12,Translating,Upload Translation,Translator,manual,manual — uploads each file against its original,Translation Uploaded,Written to the trail when it fails,trail row,fails,,,feedback_translation incomplete — 1 of 5 originals translated,no
12b,12,Translating,Upload Translation,Translator,manual,manual — uploads each file against its original,Translation Uploaded,Written to the trail when it fails,trail row,fails,,,feedback_translation incomplete — 2 of 3 originals translated,no
12b,12,Translating,Upload Translation,Translator,manual,manual — uploads each file against its original,Translation Uploaded,Written to the trail when it fails,trail row,fails,,,feedback_translation incomplete — 2 of 4 originals translated,no
12b,12,Translating,Upload Translation,Translator,manual,manual — uploads each file against its original,Translation Uploaded,Written to the trail when it fails,trail row,fails,,,feedback_translation incomplete — 2 of 5 originals translated,no
12b,12,Translating,Upload Translation,Translator,manual,manual — uploads each file against its original,Translation Uploaded,Written to the trail when it fails,trail row,fails,,,feedback_translation incomplete — 3 of 4 originals translated,no
12b,12,Translating,Upload Translation,Translator,manual,manual — uploads each file against its original,Translation Uploaded,Written to the trail when it fails,trail row,fails,,,feedback_translation incomplete — 3 of 5 originals translated,no
12b,12,Translating,Upload Translation,Translator,manual,manual — uploads each file against its original,Translation Uploaded,Written to the trail when it fails,trail row,fails,,,feedback_translation incomplete — 4 of 5 originals translated,no
12b,12,Translating,Upload Translation,Translator,manual,manual — uploads each file against its original,Translation Uploaded,Shown to someone when it fails,message,fails,Translator,operator portal,"“That file was rejected — too large, wrong type, or empty.”",no
12b,12,Translating,Upload Translation,Translator,manual,manual — uploads each file against its original,Translation Uploaded,Shown to someone when it fails,message,fails,Translator,operator portal,“That file doesn’t match any original.”,no
12b,12,Translating,Upload Translation,Translator,manual,manual — uploads each file against its original,Translation Uploaded,Shown to someone when it fails,message,fails,Translator,operator portal,“That original already has a translation.”,no
12b,12,Translating,Upload Translation,Translator,manual,manual — uploads each file against its original,Translation Uploaded,Shown to someone when it fails,message,fails,Translator,operator portal,“1 of 2 originals still need a translation.”,no
